Water,Strain,Rep,Tray,Leaf_count,Height,Aboveground_biomass,Beloground_biomass,Nodules,Nodule_counter,Notes
Wet,108,5,Wet3,25,17.4,1794,479,78,YZ,
Wet,113,5,Wet3,34,12.4,3562,1066,128,YZ,
Wet,156,5,Wet3,,,,,,YZ,No germination
Wet,173,5,Wet3,16,19.2,2761,844,54,YZ,
Wet,209,5,Wet3,20,,2466,809,70,YZ,Missing data
Wet,262,5,Wet3,34,13.8,4967,1490,172,YZ,
Wet,313,5,Wet3,12,14,1390,553,127,YZ,
Wet,325,5,Wet3,22,10.8,2698,1281,42,YZ,
Wet,381,5,Wet3,35,14.6,5472,1107,265,YZ,
Wet,460,5,Wet3,24,17.2,3605,1259,73,YZ,
Wet,461,5,Wet3,36,11.2,5790,1433,80,YZ,
Wet,462,5,Wet3,13,10.5,1348,486,85,YZ,
Wet,475,5,Wet3,34,13.8,4674,1062,163,YZ,
Wet,498,5,Wet3,9,2.1,24,19,20,YZ,
Wet,596,5,Wet3,8,8.1,404,92,59,YZ,
Wet,636,5,Wet3,20,13.7,1473,540,61,YZ,
Wet,651,5,Wet3,16,13.4,2856,815,69,YZ,
Wet,706,5,Wet3,18,13.8,1194,580,117,YZ,
Wet,726,5,Wet3,10,11.6,691,215,52,YZ,
Wet,729,5,Wet3,36,12.9,3253,1034,48,YZ,
Wet,773,5,Wet3,6,8.8,192,96,7,YZ,
Wet,796,5,Wet3,34,16.6,4773,1039,66,YZ,
Wet,861,5,Wet3,17,11,1174,460,92,YZ,
Wet,Sterile,5,Wet3,9,,221,53,2,YZ,Missing data
Wet,16,6,Wet3,28,,2982,945,131,YZ,Missing data
Wet,56,6,Wet4,34,,4685,1310,112,YZ,Missing data
Wet,74,6,Wet4,14,14.4,1836,654,95,YZ,
Wet,97,6,Wet4,16,13.6,2292,927,80,YZ,
Wet,100,6,Wet4,13,12.1,2230,919,199,YZ,
Wet,108,6,Wet4,32,17.6,908,1005,63,YZ,
Wet,113,6,Wet4,39,13.3,4734,2080,300,YZ,
Wet,156,6,Wet4,31,16.5,3380,1409,82,YZ,
Wet,173,6,Wet4,31,12.8,3212,1069,150,YZ,
Wet,209,6,Wet4,37,17.8,6279,1751,28,YZ,
Wet,262,6,Wet4,36,15.8,5469,1999,120,YZ,
Wet,313,6,Wet4,27,12.8,2834,1057,250,YZ,
Wet,325,6,Wet4,38,11.8,4351,1583,125,YZ,
Wet,381,6,Wet4,27,17.7,3870,1036,92,YZ,
Wet,460,6,Wet4,27,17.7,3690,1091,109,YZ,
Wet,461,6,Wet4,14,17.2,2373,513,67,YZ,
Wet,462,6,Wet4,13,15.4,3031,759,68,YZ,
Wet,475,6,Wet4,48,14.9,5035,1351,93,YZ,
Wet,498,6,Wet4,3,1.5,36,62,55,YZ,
Wet,596,6,Wet4,21,14,4377,1234,167,YZ,
Wet,636,6,Wet4,28,16,5181,1241,79,YZ,
Wet,651,6,Wet4,13,18,1725,560,77,YZ,
Wet,706,6,Wet4,18,12,2112,627,128,YZ,
Wet,726,6,Wet4,20,14.5,3876,837,54,YZ,
Wet,729,6,Wet4,41,15.8,5319,1866,143,YZ,
Wet,773,6,Wet4,27,16.3,3175,1167,49,YZ,
Wet,796,6,Wet4,12,15.8,1013,236,65,YZ,
Wet,861,6,Wet4,15,,3950,1207,43,YZ,Missing data
Wet,Sterile,6,Wet3,9,,122,188,34,YZ,Missing data
Wet,16,7,Wet4,25,11.9,2972,1188,126,FS,
Wet,56,7,Wet4,17,15,3669,1430,153,FS,
Wet,74,7,Wet4,18,14.9,2754,841,77,FS,
Wet,97,7,Wet4,28,18.8,4625,876,83,FS,
Wet,100,7,Wet4,12,10,717,501,130,FS,
Wet,108,7,Wet4,33,15.7,5164,1177,163,FS,
Wet,113,7,Wet4,34,12.5,4534,1645,213,FS,
Wet,156,7,Wet4,13,16.7,3117,1095,61,FS,
Wet,173,7,Wet4,16,,1689,662,37,FS,Missing data
Wet,209,7,Wet4,35,16.2,5497,1602,138,FS,
Wet,262,7,Wet4,39,,5848,2630,103,FS,Missing data
Wet,313,7,Wet4,18,14.2,1979,1049,79,FS,
Wet,325,7,Wet4,42,13.8,6584,2472,197,FS,
Wet,381,7,Wet4,22,15.7,3697,928,201,FS,
Wet,460,7,Wet4,13,12.7,2534,770,62,FS,
Wet,461,7,Wet4,26,11.9,4704,1231,45,FS,
Wet,462,7,Wet4,14,20.2,2778,612,82,FS,
Wet,475,7,Wet4,23,14.3,3167,630,79,FS,
Wet,498,7,Wet4,3,1.6,21,21,34,FS,
Wet,596,7,Wet4,16,14.8,1765,531,67,FS,
Wet,636,7,Wet4,32,14.2,5995,1487,143,FS,
Wet,651,7,Wet5,12,10.8,428,178,40,FS,
Wet,706,7,Wet5,7,7.4,80,53,20,FS,
Wet,726,7,Wet5,38,14.5,5497,1780,126,FS,
Wet,729,7,Wet5,38,10.2,4940,2045,140,FS,
Wet,773,7,Wet5,22,13.1,2471,805,34,FS,
Wet,796,7,Wet5,42,17.6,7159,1729,104,FS,
Wet,861,7,Wet5,37,19,6125,1537,217,FS,
Wet,Sterile,7,Wet4,10,,15,17,0,FS,Missing data
Wet,16,8,Wet5,48,13.1,7877,2054,180,YZ,
Wet,56,8,Wet5,34,16.8,5175,1599,267,YZ,
Wet,74,8,Wet5,19,12,1754,476,61,YZ,
Wet,97,8,Wet5,25,16.1,4705,1270,203,YZ,
Wet,100,8,Wet5,9,4.3,37,29,4,YZ,
Wet,108,8,Wet5,20,15,3101,639,108,YZ,
Wet,113,8,Wet5,20,18,4264,1127,117,YZ,
Wet,156,8,Wet5,32,14.5,5843,1847,98,YZ,
Wet,173,8,Wet5,41,13.4,9010,2212,64,YZ,
Wet,209,8,Wet5,31,12.2,3570,1051,286,YZ,
Wet,262,8,Wet5,33,12.7,5617,1623,78,YZ,
Wet,313,8,Wet5,37,15.4,3236,1031,190,YZ,
Wet,325,8,Wet5,40,16,5852,1337,116,YZ,
Wet,381,8,Wet5,27,14.5,2631,751,143,YZ,
Wet,460,8,Wet5,21,16.4,2693,777,105,YZ,
Wet,461,8,Wet5,29,15.2,4892,929,87,YZ,
Wet,462,8,Wet5,20,13.5,2850,926,81,YZ,
Wet,475,8,Wet5,22,14.6,1802,752,113,YZ,
Wet,498,8,Wet5,5,3.1,33,31,34,YZ,
Wet,596,8,Wet5,16,16.2,4047,872,111,YZ,
Wet,636,8,Wet5,18,16.1,1349,531,105,YZ,
Wet,651,8,Wet5,35,13.5,5291,949,65,YZ,
Wet,706,8,Wet5,25,18.6,3961,1098,98,YZ,
Wet,726,8,Wet5,6,5,125,63,31,YZ,
Wet,729,8,Wet5,24,16.8,2344,438,114,YZ,
Wet,773,8,Wet5,33,14,5377,1019,43,YZ,
Wet,796,8,Wet5,18,15.4,4659,1406,82,YZ,
Wet,861,8,Wet5,16,12.4,1742,367,57,YZ,
Wet,Sterile,8,Wet5,15,,449,556,1,YZ,Missing data
Wet,16,9,Wet5,21,14,2423,639,43,FS,
Wet,56,9,Wet5,42,9,4832,2390,110,FS,
Wet,74,9,Wet5,19,14,3330,1107,122,FS,
Wet,97,9,Wet5,20,10.4,2904,940,66,FS,
Wet,100,9,Wet5,15,11.7,503,400,85,FS,
Wet,108,9,Wet5,43,10.7,3309,1072,64,FS,
Wet,113,9,Wet5,22,9.2,1405,494,95,FS,
Wet,156,9,Wet5,16,11.9,1745,527,51,FS,
Wet,173,9,Wet5,30,6.3,889,379,53,FS,
Wet,209,9,Wet5,29,13.3,3504,1315,62,FS,
Wet,262,9,Wet5,16,10.8,4170,1607,55,FS,
Wet,313,9,Wet5,21,10.5,2422,531,86,FS,
Wet,325,9,Wet6,17,10.5,2174,873,204,FS,
Wet,381,9,Wet6,17,14.5,2691,1005,77,FS,
Wet,460,9,Wet6,16,13.6,2705,752,4,FS,
Wet,461,9,Wet6,25,12.2,2962,1125,60,FS,
Wet,462,9,Wet6,31,17.5,4409,1178,78,FS,
Wet,475,9,Wet6,,,,,,FS,No germination
Wet,498,9,Wet6,6,1.6,20,7,27,FS,
Wet,596,9,Wet6,16,12.2,1353,643,93,FV,
Wet,636,9,Wet6,41,12.4,6992,1786,108,FV,
Wet,651,9,Wet6,29,15.3,4465,1087,49,FV,
Wet,706,9,Wet6,16,9.8,1323,684,98,FV,
Wet,726,9,Wet6,25,15.4,3906,989,88,FV,
Wet,729,9,Wet6,33,11.4,3925,913,93,FV,
Wet,773,9,Wet6,10,9.8,790,298,34,FV,
Wet,796,9,Wet6,20,17.4,2803,582,43,FV,
Wet,861,9,Wet6,18,12.7,3386,745,60,FV,
Wet,Sterile,9,Wet5,9,10,21,16,1,FS,
Wet,16,10,Wet6,13,12.5,721,300,62,SP,
Wet,56,10,Wet6,24,14.3,2358,939,44,SP,
Wet,74,10,Wet6,51,22,3899,1013,53,SP,
Wet,97,10,Wet6,21,14,4932,2116,42,SP,
Wet,100,10,Wet6,37,12.4,3410,919,101,SP,
Wet,108,10,Wet6,36,12.4,6468,2326,108,SP,
Wet,113,10,Wet6,28,12.4,2738,608,27,SP,
Wet,156,10,Wet6,20,10.8,2560,949,53,SP,
Wet,173,10,Wet6,22,13.8,2330,1023,83,SP,
Wet,209,10,Wet6,37,16.1,3611,1152,81,SP,
Wet,262,10,Wet6,21,13.3,2779,1044,117,SP,
Wet,313,10,Wet6,43,14.3,3197,1131,82,SP,
Wet,325,10,Wet6,16,12.2,2171,687,35,SP,
Wet,381,10,Wet6,22,12,3046,947,111,SP,
Wet,460,10,Wet6,15,13.5,1287,608,86,SP,
Wet,461,10,Wet6,18,17.3,3618,1088,47,SP,
Wet,462,10,Wet6,48,15,5482,1073,85,SP,
Wet,475,10,Wet6,31,13.5,3509,1114,82,SP,
Wet,498,10,Wet6,,,,,,SP,No germination
Wet,596,10,Wet6,30,16.2,3957,945,75,SP,
Wet,636,10,Wet6,12,15.1,1630,784,48,SP,
Wet,651,10,Wet6,13,,1082,403,77,SP,Missing data
Wet,706,10,Wet6,24,12,2686,714,102,SP,
Wet,726,10,Wet6,10,19.4,4067,996,101,SP,
Wet,729,10,Wet6,36,15,5106,1167,90,SP,
Wet,773,10,Wet6,13,13.5,3380,979,76,SP,
Wet,796,10,Wet6,27,17.8,4541,1075,102,SP,
Wet,861,10,Wet6,16,,3163,765,107,SP,Missing data
Wet,Sterile,10,Wet6,12,,1846,725,33,SP,Missing data
Wet,16,11,Wet6,15,,318,161,23,FV,Missing data
Wet,56,11,Wet6,33,13.7,4042,921,118,FV,
Wet,74,11,Wet6,17,15,2898,898,52,FV,
Wet,97,11,Wet7,12,15.5,1765,739,58,FV,
Wet,100,11,Wet7,12,10.6,486,300,47,FV,
Wet,108,11,Wet7,15,7.4,190,153,33,FV,
Wet,113,11,Wet7,23,12,2299,777,91,FV,
Wet,156,11,Wet7,37,10.8,3985,1178,89,FV,
Wet,173,11,Wet7,36,15.8,4979,1860,68,FV,
Wet,209,11,Wet7,37,14.8,4088,1050,93,FV,
Wet,262,11,Wet7,40,12.8,3392,1108,79,FV,
Wet,313,11,Wet7,24,15.8,4562,1408,63,FV,
Wet,325,11,Wet7,16,12.8,2142,788,66,FV,
Wet,381,11,Wet7,25,12.8,3556,1178,80,FV,
Wet,460,11,Wet7,19,16.4,2014,919,100,FV,
Wet,461,11,Wet7,45,10.8,4131,723,40,FV,
Wet,462,11,Wet7,19,19.1,4097,1068,41,FV,
Wet,475,11,Wet7,30,,4027,1440,150,FV,Missing data
Wet,498,11,Wet7,3,,,,,FV,No germination
Wet,596,11,Wet7,36,15.1,5680,1216,98,FV,
Wet,636,11,Wet7,28,15,2978,725,28,FV,
Wet,651,11,Wet7,16,15.2,2100,880,59,FV,
Wet,706,11,Wet7,27,16.8,2668,912,151,FV,
Wet,726,11,Wet7,30,15.4,4330,1696,42,FV,
Wet,729,11,Wet7,37,10.1,4274,1255,23,FV,
Wet,773,11,Wet7,15,,3136,1093,,FV,Missing roots
Wet,796,11,Wet7,33,15.2,5738,1748,,FV,Missing roots
Wet,861,11,Wet7,16,8.4,849,583,,FV,Missing roots
Wet,Sterile,11,Wet6,6,,34,24,0,FV,Missing data
Wet,16,12,Wet7,16,14.3,2461,652,117,YZ,
Wet,56,12,Wet7,16,17.5,1210,308,42,YZ,
Wet,74,12,Wet7,16,13.2,845,382,91,YZ,
Wet,97,12,Wet7,41,14.8,5679,1899,219,YZ,
Wet,100,12,Wet7,12,14.6,604,332,125,YZ,
Wet,108,12,Wet7,42,13.3,6012,1723,222,YZ,
Wet,113,12,Wet7,31,14.9,5043,1470,124,YZ,
Wet,156,12,Wet7,32,13.3,4590,1894,135,YZ,
Wet,173,12,Wet7,22,13.4,5160,1498,62,YZ,
Wet,209,12,Wet7,30,16.5,3462,858,95,YZ,
Wet,262,12,Wet7,51,12.4,6820,1723,170,YZ,
Wet,313,12,Wet7,25,13.4,4181,889,70,YZ,
Wet,325,12,Wet7,48,11.5,6846,2069,164,YZ,
Wet,381,12,Wet7,38,14.8,6624,1657,65,YZ,
Wet,460,12,Wet7,13,11.5,425,224,33,YZ,
Wet,461,12,Wet7,19,14.9,4314,913,201,YZ,
Wet,462,12,Wet7,22,20.5,4005,878,68,YZ,
Wet,475,12,Wet7,22,14.8,3920,1116,76,YZ,
Wet,498,12,Wet7,,,,,,,
Wet,596,12,Wet7,33,12.4,4159,1125,89,YZ,
Wet,636,12,Wet7,25,15.2,4329,1133,100,YZ,
Wet,651,12,Wet7,45,11.1,6451,1947,65,YZ,
Wet,706,12,Wet7,13,11.2,964,395,160,YZ,
Wet,726,12,Wet8,38,11.8,7241,2168,169,YZ,
Wet,729,12,Wet8,34,16.5,4063,736,143,YZ,
Wet,773,12,Wet8,16,11.5,1886,514,35,YZ,
Wet,796,12,Wet8,61,15.6,6287,1283,129,YZ,
Wet,861,12,Wet8,45,13.3,4250,748,158,YZ,
Wet,Sterile,12,Wet7,6,,91,6,0,YZ,Missing data
Wet,16,13,Wet8,25,11.4,3735,1779,44,SP,
Wet,56,13,Wet8,41,12.4,4574,1302,100,SP,
Wet,74,13,Wet8,20,15.1,3125,786,56,SP,
Wet,97,13,Wet8,10,17,2764,768,86,SP,
Wet,100,13,Wet8,7,4,97,59,23,SP,
Wet,108,13,Wet8,10,13.6,1105,379,24,SP,
Wet,113,13,Wet8,20,18.6,5730,1253,54,SP,
Wet,156,13,Wet8,16,17.1,1959,942,106,SP,
Wet,173,13,Wet8,25,17.8,5069,1162,80,SP,
Wet,209,13,Wet8,45,16.5,5306,1513,92,SP,
Wet,262,13,Wet8,33,16.2,4078,1295,119,SP,
Wet,313,13,Wet8,28,,6554,2253,67,SP,Missing data
Wet,325,13,Wet8,40,12.5,5900,1393,85,SP,
Wet,381,13,Wet8,24,16.9,4235,1053,41,SP,
Wet,460,13,Wet8,3,,,,,SP,No germination
Wet,461,13,Wet8,25,14.4,4940,1055,76,SP,
Wet,462,13,Wet8,33,14.6,4875,1026,93,SP,
Wet,475,13,Wet8,57,18.5,5536,1122,77,SP,
Wet,498,13,Wet8,6,,,,,SP,No germination
Wet,596,13,Wet8,45,,5232,1205,82,SP,Missing data
Wet,636,13,Wet8,27,16.9,4728,1335,76,FV,
Wet,651,13,Wet8,11,18.6,1075,509,68,FV,
Wet,706,13,Wet8,15,14.7,1672,556,58,FV,
Wet,726,13,Wet8,27,,3871,1241,129,FV,Missing data
Wet,729,13,Wet8,31,,6115,1550,159,FV,Missing data
Wet,773,13,Wet8,16,14.5,3001,755,51,FV,
Wet,796,13,Wet8,18,14.2,3867,798,50,FV,
Wet,861,13,Wet8,35,13.9,5249,1236,85,FV,
Wet,Sterile,13,Wet8,21,,4467,880,71,SP,Missing data
Wet,16,14,Wet8,17,18.4,3728,783,83,FV,
Wet,56,14,Wet8,22,17.9,3638,1028,154,FV,
Wet,74,14,Wet8,25,15.3,5558,1756,114,FV,
Wet,97,14,Wet8,2,,87,53,0,FV,Missing data
Wet,100,14,Wet8,5,,16,8,0,FV,Missing data
Wet,108,14,Wet8,39,,3626,993,77,FV,Missing data
Wet,113,14,Wet8,16,11.5,1561,688,40,FV,
Wet,156,14,Wet8,18,18.6,5595,1625,68,FV,
Wet,173,14,Wet8,32,13.9,4923,1325,111,FV,
Wet,209,14,Wet8,18,16.1,2545,783,118,FV,
Wet,262,14,Wet8,30,12.4,3848,1240,110,FV,
Wet,313,14,Wet8,16,11.2,1382,585,63,FV,
Wet,325,14,Wet8,17,15.5,3128,903,3,FV,
Wet,381,14,Wet8,36,16.4,5277,1509,71,FV,
Wet,460,14,Wet9,16,10.2,1394,523,60,FV,
Wet,461,14,Wet9,22,10.6,3507,957,122,FV,
Wet,462,14,Wet9,13,14,1269,427,44,FV,
Wet,475,14,Wet9,9,9.5,267,78,43,FV,
Wet,498,14,Wet9,3,,,,,FV,No germination
Wet,596,14,Wet9,15,11,1928,720,65,FV,
Wet,636,14,Wet9,12,9.4,1004,334,44,FV,
Wet,651,14,Wet9,19,13.3,3058,941,79,FV,
Wet,706,14,Wet9,21,9.8,1836,678,92,FV,
Wet,726,14,Wet9,31,,3927,1884,131,FV,Missing data
Wet,729,14,Wet9,16,10.8,2194,566,110,FV,
Wet,773,14,Wet9,12,13.7,804,361,58,FV,
Wet,796,14,Wet9,27,12.5,5196,1615,138,FV,
Wet,861,14,Wet9,29,10.9,2534,550,60,FV,
Wet,Sterile,14,Wet8,10,,1566,409,33,FV,Missing data
Wet,16,15,Wet9,52,15.4,5086,1376,95,FS,
Wet,56,15,Wet9,19,13.5,3695,1069,5,FS,
Wet,74,15,Wet9,12,8,591,301,29,FS,
Wet,97,15,Wet9,51,11.2,7925,1690,88,FS,
Wet,100,15,Wet9,18,11.5,2691,782,143,FS,
Wet,108,15,Wet9,,,,,,FS,No germination
Wet,113,15,Wet9,22,19.4,3653,1162,207,FS,
Wet,156,15,Wet9,,,,,,FS,No germination
Wet,173,15,Wet9,13,13.2,1277,526,27,FS,
Wet,209,15,Wet9,16,12.1,1468,647,30,FS,
Wet,262,15,Wet9,16,14.3,773,1080,44,FS,
Wet,313,15,Wet9,,,,,,FS,No germination
Wet,325,15,Wet9,40,9,3913,1395,115,FS,
Wet,381,15,Wet9,16,13.5,2724,971,124,SP,
Wet,460,15,Wet9,15,16.2,1439,453,102,SP,
Wet,461,15,Wet9,21,14.4,2966,694,108,SP,
Wet,462,15,Wet9,,,,,,SP,No germination
Wet,475,15,Wet9,45,10.5,4868,1445,112,SP,
Wet,498,15,Wet9,,,,,,SP,No germination
Wet,596,15,Wet9,18,15.8,2884,1007,118,SP,
Wet,636,15,Wet9,10,,23,39,22,SP,
Wet,651,15,Wet9,17,15.1,2413,732,95,SP,
Wet,706,15,Wet9,,,,,,SP,No germination
Wet,726,15,Wet9,27,,4168,1589,133,SP,
Wet,729,15,Wet9,15,15.5,2188,421,46,SP,
Wet,773,15,Wet9,13,9.5,1936,620,25,SP,
Wet,796,15,Wet9,24,11.8,3656,893,100,SP,
Wet,861,15,Wet9,,,,,,SP,No germination
Wet,Sterile,15,Wet9,,,,,,FS,No germination
