Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
nagR_1,Chromosome,HTH-type transcriptional repressor NagR,38,1,40,1
sufB,Chromosome,FeS cluster assembly protein SufB,38,1,40,1
yiaD,Chromosome,putative lipoprotein YiaD,38,1,40,1
mmgB_2,Chromosome,putative 3-hydroxybutyryl-CoA dehydrogenase,38,1,40,1
lldD_1,Chromosome,Putative L-lactate dehydrogenase,38,1,40,1
takP,Chromosome,Alpha-keto acid-binding periplasmic protein TakP,38,1,40,1
hisF,Chromosome,Imidazole glycerol phosphate synthase subunit HisF,38,1,40,1
lacF_3,Chromosome,Lactose transport system permease protein LacF,38,1,40,1
leuC,Chromosome,3-isopropylmalate dehydratase large subunit,38,1,40,1
recD2,Chromosome,ATP-dependent RecD-like DNA helicase,38,1,40,1
rplX,Chromosome,50S ribosomal protein L24,38,1,40,1
ros,Chromosome,Transcriptional regulatory protein ros,38,1,40,1
mraZ,Chromosome,Transcriptional regulator MraZ,38,1,40,1
hppA,Chromosome,K(+)-insensitive pyrophosphate-energized proton pump,38,1,40,1
acrB,Chromosome,Multidrug efflux pump subunit AcrB,38,1,40,1
gtaB,Chromosome,UTP--glucose-1-phosphate uridylyltransferase,38,1,40,1
cysD,Chromosome,Sulfate adenylyltransferase subunit 2,38,1,40,1
glnQ_1,Chromosome,Glutamine transport ATP-binding protein GlnQ,38,1,40,1
gyrB_1,Chromosome,DNA gyrase subunit B,38,1,40,1
adhC2,Chromosome,NADP-dependent alcohol dehydrogenase C 2,38,1,40,1
rplB,Chromosome,50S ribosomal protein L2,38,1,40,1
ctaC,Chromosome,Cytochrome c oxidase subunit 2,38,1,40,1
ohrB_1,Chromosome,Organic hydroperoxide resistance protein OhrB,38,1,40,1
walR,Chromosome,Transcriptional regulatory protein WalR,38,1,40,1
ntrC_1,Chromosome,DNA-binding transcriptional regulator NtrC,38,1,40,1
bauC,Chromosome,Putative 3-oxopropanoate dehydrogenase,38,1,40,1
apaG,Chromosome,Protein ApaG,38,1,40,1
rnhA_1,Chromosome,Ribonuclease HI,38,1,40,1
pheA,Chromosome,Bifunctional chorismate mutase/prephenate dehydratase,38,1,40,1
recR,Chromosome,Recombination protein RecR,38,1,40,1
bauA,Chromosome,Beta-alanine--pyruvate aminotransferase,38,1,40,1
ppiB,Chromosome,Peptidyl-prolyl cis-trans isomerase B,38,1,40,1
ispH,Chromosome,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,38,1,40,1
rpoC,Chromosome,DNA-directed RNA polymerase subunit beta',38,1,40,1
group_8509,Chromosome,putative sugar-binding periplasmic protein,38,1,40,1
zur,Chromosome,Zinc uptake regulation protein,38,1,40,1
nuoN,Chromosome,NADH-quinone oxidoreductase subunit N,38,1,40,1
aidB,Chromosome,Putative acyl-CoA dehydrogenase AidB,38,1,40,1
mglB,Chromosome,D-galactose-binding periplasmic protein,38,1,40,1
lon,Chromosome,Lon protease,38,1,40,1
ymdB,Chromosome,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",38,1,40,1
rplA,Chromosome,50S ribosomal protein L1,38,1,40,1
sodB,Chromosome,Superoxide dismutase [Mn],38,1,40,1
fzlA,Chromosome,FtsZ-localized protein A,38,1,40,1
cheD,Chromosome,Chemoreceptor glutamine deamidase CheD,38,1,40,1
icd,Chromosome,Isocitrate dehydrogenase [NADP],38,1,40,1
mfd,Chromosome,Transcription-repair-coupling factor,38,1,40,1
glgC,Chromosome,Glucose-1-phosphate adenylyltransferase,38,1,40,1
hisB,Chromosome,Histidine biosynthesis bifunctional protein HisB,38,1,40,1
ehpR_2,Chromosome,Phenazine antibiotic resistance protein EhpR,38,1,40,1
rplM,Chromosome,50S ribosomal protein L13,38,1,40,1
doeA,Chromosome,Ectoine hydrolase,38,1,40,1
pcs,Chromosome,Phosphatidylcholine synthase,38,1,40,1
malP,Chromosome,Maltodextrin phosphorylase,38,1,40,1
phoP,Chromosome,Virulence transcriptional regulatory protein PhoP,38,1,40,1
nuoK_1,Chromosome,NADH-quinone oxidoreductase subunit K,38,1,40,1
dnaK_1,Chromosome,Chaperone protein DnaK,38,1,40,1
ettA,Chromosome,Energy-dependent translational throttle protein EttA,38,1,40,1
rarA,Chromosome,Replication-associated recombination protein A,38,1,40,1
rpsD,Chromosome,30S ribosomal protein S4,38,1,40,1
hslU,Chromosome,ATP-dependent protease ATPase subunit HslU,38,1,40,1
lysA,Chromosome,Diaminopimelate decarboxylase,38,1,40,1
phhA,Chromosome,Phenylalanine-4-hydroxylase,38,1,40,1
ytfQ,Chromosome,ABC transporter periplasmic-binding protein YtfQ,38,1,40,1
ldc,Chromosome,Lysine/ornithine decarboxylase,38,1,40,1
oqxB2,Chromosome,multidrug efflux RND transporter permease subunit OqxB2,38,1,40,1
slyA_2,Chromosome,Transcriptional regulator SlyA,38,1,40,1
map_1,Chromosome,Methionine aminopeptidase,38,1,40,1
parA,Chromosome,Chromosome partitioning protein ParA,38,1,40,1
qmcA,Chromosome,Protein QmcA,38,1,40,1
xylH_2,Chromosome,Xylose transport system permease protein XylH,38,1,40,1
hflX,Chromosome,GTPase HflX,38,1,40,1
prs_1,Chromosome,Ribose-phosphate pyrophosphokinase,38,1,40,1
tsf,Chromosome,Elongation factor Ts,38,1,40,1
bfr,Chromosome,Bacterioferritin,38,1,40,1
oppF_3,Chromosome,Oligopeptide transport ATP-binding protein OppF,38,1,40,1
macB,Chromosome,Macrolide export ATP-binding/permease protein MacB,38,1,40,1
gndA,Chromosome,"6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating",38,1,40,1
dxs_1,Chromosome,1-deoxy-D-xylulose-5-phosphate synthase,38,1,40,1
sucD,Chromosome,Succinate--CoA ligase [ADP-forming] subunit alpha,38,1,40,1
sdhB,Chromosome,Succinate dehydrogenase iron-sulfur subunit,38,1,40,1
glsA,Chromosome,Thermolabile glutaminase,38,1,40,1
cobT,Chromosome,Aerobic cobaltochelatase subunit CobT,38,1,40,1
rplF,Chromosome,50S ribosomal protein L6,38,1,40,1
rnc,Chromosome,Ribonuclease 3,38,1,40,1
murA,Chromosome,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,38,1,40,1
pucM,Chromosome,5-hydroxyisourate hydrolase,38,1,40,1
cusR,Chromosome,Transcriptional regulatory protein CusR,38,1,40,1
group_8586,Chromosome,Glycerate dehydrogenase,38,1,40,1
rplE,Chromosome,50S ribosomal protein L5,38,1,40,1
psd,Chromosome,Phosphatidylserine decarboxylase proenzyme,38,1,40,1
upp,Chromosome,Uracil phosphoribosyltransferase,38,1,40,1
phoU,Chromosome,Phosphate-specific transport system accessory protein PhoU,38,1,40,1
nuoD,Chromosome,NADH-quinone oxidoreductase subunit D,38,1,40,1
mce2R,Chromosome,HTH-type transcriptional regulator Mce2R,38,1,40,1
nuoH_1,Chromosome,NADH-quinone oxidoreductase subunit H,38,1,40,1
purF,Chromosome,Amidophosphoribosyltransferase,38,1,40,1
mrpC,Chromosome,Na(+)/H(+) antiporter subunit C,38,1,40,1
ybhL,Chromosome,Inner membrane protein YbhL,38,1,40,1
fumA,Chromosome,"Fumarate hydratase class I, aerobic",38,1,40,1
asd2,Chromosome,Aspartate-semialdehyde dehydrogenase 2,38,1,40,1
rsh,Chromosome,GTP pyrophosphokinase rsh,38,1,40,1
gltA,Chromosome,Citrate synthase,38,1,40,1
fabH,Chromosome,3-oxoacyl-[acyl-carrier-protein] synthase 3,38,1,40,1
oxyR_2,Chromosome,Hydrogen peroxide-inducible genes activator,38,1,40,1
dinF,Chromosome,DNA damage-inducible protein F,38,1,40,1
plsX,Chromosome,Phosphate acyltransferase,38,1,40,1
lepA,Chromosome,Elongation factor 4,38,1,40,1
mdh_2,Chromosome,Malate dehydrogenase,38,1,40,1
secA,Chromosome,Protein translocase subunit SecA,38,1,40,1
rpsP,Chromosome,30S ribosomal protein S16,38,1,40,1
fliG,Chromosome,Flagellar motor switch protein FliG,38,1,40,1
atoC,Chromosome,Regulatory protein AtoC,38,1,40,1
argB,Chromosome,Acetylglutamate kinase,38,1,40,1
rplR,Chromosome,50S ribosomal protein L18,38,1,40,1
group_8625,Chromosome,tRNA-Ala(tgc),38,1,40,1
echA8,Chromosome,putative enoyl-CoA hydratase echA8,38,1,40,1
surE,Chromosome,5'-nucleotidase SurE,38,1,40,1
ugpA_2,Chromosome,sn-glycerol-3-phosphate transport system permease protein UgpA,38,1,40,1
rimJ,Chromosome,[Ribosomal protein S5]-alanine N-acetyltransferase,38,1,40,1
coaA_2,Chromosome,Pantothenate kinase,38,1,40,1
typA,Chromosome,GTP-binding protein TypA/BipA,38,1,40,1
gltB,Chromosome,Ferredoxin-dependent glutamate synthase 1,38,1,40,1
hpf,Chromosome,Ribosome hibernation promotion factor,38,1,40,1
accD,Chromosome,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,38,1,40,1
pcrA,Chromosome,ATP-dependent DNA helicase PcrA,38,1,40,1
bamE,Chromosome,Outer membrane protein assembly factor BamE,38,1,40,1
ndvA,Chromosome,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA,38,1,40,1
purE,Chromosome,N5-carboxyaminoimidazole ribonucleotide mutase,38,1,40,1
leuD,Chromosome,3-isopropylmalate dehydratase small subunit,38,1,40,1
tal,Chromosome,Transaldolase,38,1,40,1
fliP,Chromosome,Flagellar biosynthetic protein FliP,38,1,40,1
metK,Chromosome,S-adenosylmethionine synthase,38,1,40,1
cckA_1,Chromosome,Sensor kinase CckA,38,1,40,1
purC_1,Chromosome,Phosphoribosylaminoimidazole-succinocarboxamide synthase,38,1,40,1
tig,Chromosome,Trigger factor,38,1,40,1
rplD,Chromosome,50S ribosomal protein L4,38,1,40,1
group_8656,Chromosome,Leu/Ile/Val-binding protein,38,1,40,1
livH_3,Chromosome,High-affinity branched-chain amino acid transport system permease protein LivH,38,1,40,1
nqo1,Chromosome,NADH-quinone oxidoreductase chain 1,38,1,40,1
cysE_1,Chromosome,Serine acetyltransferase,38,1,40,1
clpX,Chromosome,ATP-dependent Clp protease ATP-binding subunit ClpX,38,1,40,1
nodD2_1,Chromosome,Nodulation protein D 2,38,1,40,1
engB,Chromosome,putative GTP-binding protein EngB,38,1,40,1
ycjO,Chromosome,Inner membrane ABC transporter permease protein YcjO,38,1,40,1
nuoM_1,Chromosome,NADH-quinone oxidoreductase subunit M,38,1,40,1
xylA,Chromosome,Xylose isomerase,38,1,40,1
ctaD,Chromosome,Cytochrome c oxidase subunit 1,38,1,40,1
ftsW,Chromosome,putative peptidoglycan glycosyltransferase FtsW,38,1,40,1
carB,Chromosome,Carbamoyl-phosphate synthase large chain,38,1,40,1
ccmB,Chromosome,Heme exporter protein B,38,1,40,1
artJ,Chromosome,ABC transporter arginine-binding protein 1,38,1,40,1
rplN,Chromosome,50S ribosomal protein L14,38,1,40,1
pgm,Chromosome,Phosphoglucomutase,38,1,40,1
gatA,Chromosome,Glutamyl-tRNA(Gln) amidotransferase subunit A,38,1,40,1
lipA,Chromosome,Lipoyl synthase,38,1,40,1
dnaC,Chromosome,Replicative DNA helicase,38,1,40,1
rpsM,Chromosome,30S ribosomal protein S13,38,1,40,1
rpoD,Chromosome,RNA polymerase sigma factor RpoD,38,1,40,1
phnK,Chromosome,Putative phosphonates utilization ATP-binding protein PhnK,38,1,40,1
thiY,Chromosome,Formylaminopyrimidine-binding protein,38,1,40,1
glyA2,Chromosome,Serine hydroxymethyltransferase 2,38,1,40,1
uxuA,Chromosome,Mannonate dehydratase,38,1,40,1
bdhA_2,Chromosome,D-beta-hydroxybutyrate dehydrogenase,38,1,40,1
fusA,Chromosome,Elongation factor G,38,1,40,1
pdxH,Chromosome,Pyridoxine/pyridoxamine 5'-phosphate oxidase,38,1,40,1
folE,Chromosome,GTP cyclohydrolase 1,38,1,40,1
gcvH,Chromosome,Glycine cleavage system H protein,38,1,40,1
fpr,Chromosome,Flavodoxin/ferredoxin--NADP reductase,38,1,40,1
nuoJ_1,Chromosome,NADH-quinone oxidoreductase subunit J,38,1,40,1
msbA,Chromosome,Lipid A export ATP-binding/permease protein MsbA,38,1,40,1
ihfA,Chromosome,Integration host factor subunit alpha,38,1,40,1
xylF,Chromosome,D-xylose-binding periplasmic protein,38,1,40,1
bpt,Chromosome,Aspartate/glutamate leucyltransferase,38,1,40,1
groL,Chromosome,60 kDa chaperonin,38,1,40,1
parC,Chromosome,DNA topoisomerase 4 subunit A,38,1,40,1
nasD,Chromosome,Nitrite reductase [NAD(P)H],38,1,40,1
pyrG,Chromosome,CTP synthase,38,1,40,1
group_8718,Chromosome,2-haloacrylate reductase,38,1,40,1
glnB,Chromosome,Nitrogen regulatory protein P-II,38,1,40,1
guaA,Chromosome,GMP synthase [glutamine-hydrolyzing],38,1,40,1
prfB_1,Chromosome,Peptide chain release factor RF2,38,1,40,1
rpsB,Chromosome,30S ribosomal protein S2,38,1,40,1
exbD,Chromosome,Biopolymer transport protein ExbD,38,1,40,1
pleD,Chromosome,Response regulator PleD,38,1,40,1
rho,Chromosome,Transcription termination factor Rho,38,1,40,1
polS_2,Chromosome,Sorbitol dehydrogenase,38,1,40,1
rsfS,Chromosome,Ribosomal silencing factor RsfS,38,1,40,1
recA,Chromosome,Protein RecA,38,1,40,1
alaC,Chromosome,Glutamate-pyruvate aminotransferase AlaC,38,1,40,1
murC,Chromosome,UDP-N-acetylmuramate--L-alanine ligase,38,1,40,1
rpoB,Chromosome,DNA-directed RNA polymerase subunit beta,38,1,40,1
ilvI_2,Chromosome,Acetolactate synthase isozyme 3 large subunit,38,1,40,1
sir,Chromosome,Sulfite reductase [ferredoxin],38,1,40,1
rcp1,Chromosome,Response regulator rcp1,38,1,40,1
clpA,Chromosome,ATP-dependent Clp protease ATP-binding subunit ClpA,38,1,40,1
acoA,Chromosome,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha",38,1,40,1
regA,Chromosome,Photosynthetic apparatus regulatory protein RegA,38,1,40,1
infB,Chromosome,Translation initiation factor IF-2,38,1,40,1
trpB,Chromosome,Tryptophan synthase beta chain,38,1,40,1
pyrB,Chromosome,Aspartate carbamoyltransferase,38,1,40,1
clcB,Chromosome,Voltage-gated ClC-type chloride channel ClcB,38,1,40,1
rplO,Chromosome,50S ribosomal protein L15,38,1,40,1
frcB,Chromosome,Fructose import binding protein FrcB,38,1,40,1
ureC1,Chromosome,Urease subunit alpha 1,38,1,40,1
ahcY_2,Chromosome,Adenosylhomocysteinase,38,1,40,1
dppA_1,Chromosome,Periplasmic dipeptide transport protein,38,1,40,1
garR,Chromosome,2-hydroxy-3-oxopropionate reductase,38,1,40,1
ptsP,Chromosome,Phosphoenolpyruvate-dependent phosphotransferase system,38,1,40,1
ruvB,Chromosome,Holliday junction ATP-dependent DNA helicase RuvB,38,1,40,1
rpsE,Chromosome,30S ribosomal protein S5,38,1,40,1
menF_1,Chromosome,Isochorismate synthase MenF,38,1,40,1
ndhC_1,Chromosome,"NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic",38,1,40,1
purU,Chromosome,Formyltetrahydrofolate deformylase,38,1,40,1
radA,Chromosome,DNA repair protein RadA,38,1,40,1
nusA,Chromosome,Transcription termination/antitermination protein NusA,38,1,40,1
hflK,Chromosome,Modulator of FtsH protease HflK,38,1,40,1
tyrC,Chromosome,Cyclohexadienyl dehydrogenase,38,1,40,1
ftsH,Chromosome,ATP-dependent zinc metalloprotease FtsH,38,1,40,1
lexA_2,Chromosome,LexA repressor,38,1,40,1
yhdE,Chromosome,dTTP/UTP pyrophosphatase,38,1,40,1
gcvP,Chromosome,Glycine dehydrogenase (decarboxylating),38,1,40,1
gltD,Chromosome,Glutamate synthase [NADPH] small chain,38,1,40,1
mraY,Chromosome,Phospho-N-acetylmuramoyl-pentapeptide-transferase,38,1,40,1
soxB,Chromosome,Sarcosine oxidase subunit beta,38,1,40,1
nuoB,Chromosome,NADH-quinone oxidoreductase subunit B,38,1,40,1
ftsZ_1,Chromosome,Cell division protein FtsZ,38,1,40,1
rsmD,Chromosome,Ribosomal RNA small subunit methyltransferase D,38,1,40,1
serA,Chromosome,D-3-phosphoglycerate dehydrogenase,38,1,40,1
ureG,Chromosome,Urease accessory protein UreG,38,1,40,1
rplC,Chromosome,50S ribosomal protein L3,38,1,40,1
sucA,Chromosome,2-oxoglutarate dehydrogenase E1 component,38,1,40,1
oqxB12,Chromosome,multidrug efflux RND transporter permease subunit OqxB12,38,1,40,1
rgtE,Chromosome,Dodecaprenyl-phosphate galacturonate synthase,38,1,40,1
amiC_2,Chromosome,Aliphatic amidase expression-regulating protein,38,1,40,1
flgG_1,Chromosome,Flagellar basal-body rod protein FlgG,38,1,40,1
gatB,Chromosome,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,38,1,40,1
sdhA,Chromosome,Succinate dehydrogenase flavoprotein subunit,38,1,40,1
nrdH,Chromosome,Glutaredoxin-like protein NrdH,38,1,40,1
uvrA,Chromosome,UvrABC system protein A,38,1,40,1
ilvD,Chromosome,Dihydroxy-acid dehydratase,38,1,40,1
group_8809,Chromosome,Putative formate dehydrogenase,38,1,40,1
ispB,Chromosome,Octaprenyl diphosphate synthase,38,1,40,1
emrB_3,Chromosome,Colistin resistance protein EmrB,38,1,40,1
pasT,Chromosome,Persistence and stress-resistance toxin PasT,38,1,40,1
flgH,Chromosome,Flagellar L-ring protein,38,1,40,1
nhaP,Chromosome,K(+)/H(+) antiporter NhaP,38,1,40,1
iolC,Chromosome,5-dehydro-2-deoxygluconokinase,38,1,40,1
mkl,Chromosome,putative ribonucleotide transport ATP-binding protein mkl,38,1,40,1
tktA,Chromosome,Transketolase 1,38,1,40,1
group_8825,Chromosome,DNA-binding protein HRL53,38,1,40,1
dnaE1,Chromosome,DNA polymerase III subunit alpha,38,1,40,1
ald,Chromosome,Alanine dehydrogenase,38,1,40,1
yxeO,Chromosome,putative amino-acid import ATP-binding protein YxeO,38,1,40,1
hisI,Chromosome,Phosphoribosyl-AMP cyclohydrolase,38,1,40,1
mrcA,Chromosome,Penicillin-binding protein 1A,38,1,40,1
scpA,Chromosome,Segregation and condensation protein A,38,1,40,1
rnr,Chromosome,Ribonuclease R,38,1,40,1
rlmN,Chromosome,Dual-specificity RNA methyltransferase RlmN,38,1,40,1
sthA,Chromosome,putative soluble pyridine nucleotide transhydrogenase,38,1,40,1
hemB,Chromosome,Delta-aminolevulinic acid dehydratase,38,1,40,1
thpR,Chromosome,"RNA 2',3'-cyclic phosphodiesterase",38,1,40,1
era,Chromosome,GTPase Era,38,1,40,1
gatC,Chromosome,Glutamyl-tRNA(Gln) amidotransferase subunit C,38,1,40,1
yhjE,Chromosome,Inner membrane metabolite transport protein YhjE,38,1,40,1
dapD,Chromosome,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",38,1,40,1
aroC,Chromosome,Chorismate synthase,38,1,40,1
mdtC_1,Chromosome,Multidrug resistance protein MdtC,38,1,40,1
psuG,Chromosome,Pseudouridine-5'-phosphate glycosidase,38,1,40,1
epsD,Chromosome,Putative glycosyltransferase EpsD,38,1,40,1
accC,Chromosome,Biotin carboxylase,38,1,40,1
kup_1,Chromosome,Low affinity potassium transport system protein kup,38,1,40,1
dht,Chromosome,D-hydantoinase/dihydropyrimidinase,38,1,40,1
carA_2,Chromosome,Carbamoyl-phosphate synthase small chain,38,1,40,1
group_8871,Chromosome,Amino acid--[acyl-carrier-protein] ligase,38,1,40,1
dasA,Chromosome,Diacetylchitobiose binding protein DasA,38,1,40,1
pheS,Chromosome,Phenylalanine--tRNA ligase alpha subunit,38,1,40,1
argF_1,Chromosome,"Ornithine carbamoyltransferase, anabolic",38,1,40,1
yciI,Chromosome,Protein YciI,38,1,40,1
glnL,Chromosome,Sensory histidine kinase/phosphatase NtrB,38,1,40,1
trmJ,Chromosome,tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ,38,1,40,1
cobS,Chromosome,Aerobic cobaltochelatase subunit CobS,38,1,40,1
bamD,Chromosome,Outer membrane protein assembly factor BamD,38,1,40,1
dcd,Chromosome,"dCTP deaminase, dUMP-forming",38,1,40,1
yciF,Chromosome,Protein YciF,38,1,40,1
rsmE,Chromosome,Ribosomal RNA small subunit methyltransferase E,38,1,40,1
ispG,Chromosome,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),38,1,40,1
yqiK,Chromosome,Inner membrane protein YqiK,38,1,40,1
dgoD,Chromosome,D-galactonate dehydratase,38,1,40,1
aptB,Chromosome,Apulose-4-phosphate transketolase subunit B,38,1,40,1
dme,Chromosome,NAD-dependent malic enzyme,38,1,40,1
ada_2,Chromosome,Bifunctional transcriptional activator/DNA repair enzyme Ada,38,1,40,1
coaBC,Chromosome,Coenzyme A biosynthesis bifunctional protein CoaBC,38,1,40,1
phnJ,Chromosome,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase,38,1,40,1
nqo5,Chromosome,NADH-quinone oxidoreductase chain 5,38,1,40,1
ilvH,Chromosome,Acetolactate synthase isozyme 3 small subunit,38,1,40,1
sugA,Chromosome,Trehalose transport system permease protein SugA,38,1,40,1
hemF,Chromosome,Oxygen-dependent coproporphyrinogen-III oxidase,38,1,40,1
trpA,Chromosome,Tryptophan synthase alpha chain,38,1,40,1
puuA_1,Chromosome,Gamma-glutamylputrescine synthetase PuuA,38,1,40,1
ppk,Chromosome,Polyphosphate kinase,38,1,40,1
group_8923,Chromosome,NAD(P)H dehydrogenase (quinone),38,1,40,1
bacC_2,Chromosome,Dihydroanticapsin 7-dehydrogenase,38,1,40,1
bcp,Chromosome,Putative peroxiredoxin bcp,38,1,40,1
lutA,Chromosome,Lactate utilization protein A,38,1,40,1
glmM_2,Chromosome,Phosphoglucosamine mutase,38,1,40,1
secB,Chromosome,Protein-export protein SecB,38,1,40,1
coaD,Chromosome,Phosphopantetheine adenylyltransferase,38,1,40,1
tcyA,Chromosome,L-cystine-binding protein TcyA,38,1,40,1
argS,Chromosome,Arginine--tRNA ligase,38,1,40,1
perR,Chromosome,Peroxide-responsive repressor PerR,38,1,40,1
hom,Chromosome,Homoserine dehydrogenase,38,1,40,1
rluC,Chromosome,Ribosomal large subunit pseudouridine synthase C,38,1,40,1
group_8947,Chromosome,putative enoyl-CoA hydratase 1,38,1,40,1
ydcO,Chromosome,Inner membrane protein YdcO,38,1,40,1
dhmA,Chromosome,Haloalkane dehalogenase,38,1,40,1
malL_1,Chromosome,"Oligo-1,6-glucosidase 1",38,1,40,1
group_8952,Chromosome,putative NTE family protein,38,1,40,1
suhB,Chromosome,Inositol-1-monophosphatase,38,1,40,1
thrS,Chromosome,Threonine--tRNA ligase,38,1,40,1
trmB,Chromosome,tRNA (guanine-N(7)-)-methyltransferase,38,1,40,1
yhgF,Chromosome,Protein YhgF,38,1,40,1
pckA,Chromosome,Phosphoenolpyruvate carboxykinase (ATP),38,1,40,1
mshD_1,Chromosome,Mycothiol acetyltransferase,38,1,40,1
grxC,Chromosome,Glutaredoxin 3,38,1,40,1
ompA,Chromosome,Outer membrane protein A,38,1,40,1
tdk,Chromosome,Thymidine kinase,38,1,40,1
group_8967,Chromosome,Aspartate kinase,38,1,40,1
ddlB,Chromosome,D-alanine--D-alanine ligase B,38,1,40,1
hss,Chromosome,Homospermidine synthase,38,1,40,1
pntB,Chromosome,NAD(P) transhydrogenase subunit beta,38,1,40,1
alaS_2,Chromosome,Alanine--tRNA ligase,38,1,40,1
aroH,Chromosome,Phospho-2-dehydro-3-deoxyheptonate aldolase,38,1,40,1
mprF,Chromosome,Phosphatidylglycerol lysyltransferase,38,1,40,1
fbcH_2,Chromosome,Cytochrome b/c1,38,1,40,1
atpA,Chromosome,ATP synthase subunit alpha,38,1,40,1
dgoK1,Chromosome,putative 2-dehydro-3-deoxygalactonokinase DgoK1,38,1,40,1
regB,Chromosome,Sensor histidine kinase RegB,38,1,40,1
frcC,Chromosome,Fructose import permease protein FrcC,38,1,40,1
group_8985,Chromosome,Putative HTH-type transcriptional regulator,38,1,40,1
aqpZ2,Chromosome,Aquaporin Z 2,38,1,40,1
grpE,Chromosome,Protein GrpE,38,1,40,1
pstB_1,Chromosome,Phosphate import ATP-binding protein PstB,38,1,40,1
yfiC,Chromosome,tRNA1(Val) (adenine(37)-N6)-methyltransferase,38,1,40,1
gloA_2,Chromosome,Lactoylglutathione lyase,38,1,40,1
tldD,Chromosome,Metalloprotease TldD,38,1,40,1
rpmI,Chromosome,50S ribosomal protein L35,38,1,40,1
rimM,Chromosome,Ribosome maturation factor RimM,38,1,40,1
apbC,Chromosome,Iron-sulfur cluster carrier protein,38,1,40,1
osmC,Chromosome,Peroxiredoxin OsmC,38,1,40,1
mntH,Chromosome,Divalent metal cation transporter MntH,38,1,40,1
group_9002,Chromosome,putative protein RP812,38,1,40,1
prfA,Chromosome,Peptide chain release factor RF1,38,1,40,1
phnI,Chromosome,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI,38,1,40,1
nusB,Chromosome,Transcription antitermination protein NusB,38,1,40,1
trpS,Chromosome,Tryptophan--tRNA ligase,38,1,40,1
yxeN_1,Chromosome,putative amino-acid permease protein YxeN,38,1,40,1
rpsT,Chromosome,30S ribosomal protein S20,38,1,40,1
aptA,Chromosome,Apulose-4-phosphate transketolase subunit A,38,1,40,1
opuAB,Chromosome,Glycine betaine transport system permease protein OpuAB,38,1,40,1
rpmB,Chromosome,50S ribosomal protein L28,38,1,40,1
fpgS_2,Chromosome,Folylpolyglutamate synthase,38,1,40,1
glyS,Chromosome,Glycine--tRNA ligase beta subunit,38,1,40,1
queF,Chromosome,NADPH-dependent 7-cyano-7-deazaguanine reductase,38,1,40,1
hemW,Chromosome,Heme chaperone HemW,38,1,40,1
pycA,Chromosome,Pyruvate carboxylase,38,1,40,1
yqeY,Chromosome,putative protein YqeY,38,1,40,1
def_1,Chromosome,Peptide deformylase,38,1,40,1
hslR,Chromosome,Heat shock protein 15,38,1,40,1
degQ,Chromosome,Periplasmic pH-dependent serine endoprotease DegQ,38,1,40,1
paaF_1,Chromosome,"2,3-dehydroadipyl-CoA hydratase",38,1,40,1
deoR_1,Chromosome,Deoxyribonucleoside regulator,38,1,40,1
cysK1,Chromosome,O-acetylserine sulfhydrylase,38,1,40,1
purB,Chromosome,Adenylosuccinate lyase,38,1,40,1
pgi,Chromosome,Glucose-6-phosphate isomerase,38,1,40,1
waaA,Chromosome,3-deoxy-D-manno-octulosonic acid transferase,38,1,40,1
group_9046,Chromosome,PhoH-like protein,38,1,40,1
prfC,Chromosome,Peptide chain release factor RF3,38,1,40,1
mdh_1,Chromosome,NAD-dependent methanol dehydrogenase,38,1,40,1
proS,Chromosome,Proline--tRNA ligase,38,1,40,1
yknY_1,Chromosome,putative ABC transporter ATP-binding protein YknY,38,1,40,1
yehZ,Chromosome,Glycine betaine-binding protein YehZ,38,1,40,1
smc,Chromosome,Chromosome partition protein Smc,38,1,40,1
ybgC,Chromosome,Acyl-CoA thioesterase YbgC,38,1,40,1
tauB,Chromosome,Taurine import ATP-binding protein TauB,38,1,40,1
trmFO,Chromosome,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,38,1,40,1
mntB_2,Chromosome,Manganese transport system membrane protein MntB,38,1,40,1
aldHT,Chromosome,"Aldehyde dehydrogenase, thermostable",38,1,40,1
queD,Chromosome,"6-carboxy-5,6,7,8-tetrahydropterin synthase",38,1,40,1
ycf3,Chromosome,Photosystem I assembly protein Ycf3,38,1,40,1
bioY,Chromosome,Biotin transporter BioY,38,1,40,1
ppa,Chromosome,Inorganic pyrophosphatase,38,1,40,1
ureA,Chromosome,Urease subunit gamma,38,1,40,1
