Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
aroK,Chromosome,Shikimate kinase 1,38,1,40,1
fabG_12,Chromosome,3-oxoacyl-[acyl-carrier-protein] reductase FabG,38,1,40,1
ykoF,Chromosome,Putative HMP/thiamine-binding protein YkoF,38,1,40,1
ssuB_3,Chromosome,Aliphatic sulfonates import ATP-binding protein SsuB,38,1,40,1
xerC_2,Chromosome,Tyrosine recombinase XerC,38,1,40,1
gpsA,Chromosome,Glycerol-3-phosphate dehydrogenase [NAD(P)+],38,1,40,1
relE1,Chromosome,Toxin RelE1,38,1,40,1
ggt_2,Chromosome,Glutathione hydrolase proenzyme,38,1,40,1
gcvA_7,Chromosome,Glycine cleavage system transcriptional activator,38,1,40,1
ybjJ_3,Chromosome,Inner membrane protein YbjJ,38,1,40,1
ddpA_2,Chromosome,"putative D,D-dipeptide-binding periplasmic protein DdpA",38,1,40,1
fzlC,Chromosome,FtsZ-localized protein C,38,1,40,1
coaE_2,Chromosome,Dephospho-CoA kinase,38,1,36,0.9
rutE,Chromosome,malonic semialdehyde reductase RutE,38,1,36,0.9
cmk,Chromosome,Cytidylate kinase,38,1,40,1
group_1351,Chromosome,Tn3 family transposase TnXax1,38,1,40,1
group_1352,Chromosome,Nucleoid-associated protein,38,1,40,1
moeZ,Chromosome,putative adenylyltransferase/sulfurtransferase MoeZ,38,1,40,1
mtgA_3,Chromosome,Biosynthetic peptidoglycan transglycosylase,38,1,40,1
phnC,Chromosome,Phosphate-import ATP-binding protein PhnC,38,1,40,1
phnL,Chromosome,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL,38,1,40,1
dapB_2,Chromosome,4-hydroxy-tetrahydrodipicolinate reductase,38,1,40,1
sctC_2,Chromosome,Type 3 secretion system secretin,38,1,40,1
tenA,Chromosome,Aminopyrimidine aminohydrolase,38,1,40,1
rhtA,Chromosome,Threonine/homoserine exporter RhtA,38,1,40,1
group_1375,Chromosome,"dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase",38,1,40,1
ogt,Chromosome,Methylated-DNA--protein-cysteine methyltransferase,38,1,40,1
pyrF,Chromosome,Orotidine 5'-phosphate decarboxylase,38,1,40,1
yycB,Chromosome,putative transporter YycB,38,1,40,1
gntR_3,Chromosome,putative D-xylose utilization operon transcriptional repressor,38,1,40,1
egtC,Chromosome,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,38,1,40,1
allB,Chromosome,Allantoinase,38,1,40,1
fliC_1,Chromosome,Flagellin,38,1,40,1
adh_1,Chromosome,Alcohol dehydrogenase,38,1,40,1
speB_1,Chromosome,Agmatinase,38,1,40,1
iolG_5,Chromosome,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,38,1,40,1
betA,Chromosome,Oxygen-dependent choline dehydrogenase,38,1,40,1
lacZ_1,Chromosome,Beta-galactosidase,38,1,40,1
fbpA,Chromosome,Fe(3+)-binding periplasmic protein,38,1,40,1
glpR_2,Chromosome,Glycerol-3-phosphate regulon repressor,38,1,40,1
group_1424,Chromosome,putative signaling protein,38,1,40,1
dnaA,Chromosome,Chromosomal replication initiator protein DnaA,38,1,40,1
lysDH,Chromosome,Lysine 6-dehydrogenase,38,1,40,1
group_1452,Chromosome,dITP/XTP pyrophosphatase,38,1,40,1
hrcA,Chromosome,Heat-inducible transcription repressor HrcA,38,1,40,1
rihA,Chromosome,Pyrimidine-specific ribonucleoside hydrolase RihA,38,1,40,1
ibpA_1,Chromosome,Small heat shock protein IbpA,38,1,40,1
lnt,Chromosome,Apolipoprotein N-acyltransferase,38,1,40,1
miaB,Chromosome,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,38,1,40,1
OSGEPL1,Chromosome,"tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial",38,1,40,1
glnD,Chromosome,Bifunctional uridylyltransferase/uridylyl-removing enzyme,38,1,40,1
mutS,Chromosome,DNA mismatch repair protein MutS,38,1,40,1
rcsC_1,Chromosome,Sensor histidine kinase RcsC,38,1,40,1
lspA,Chromosome,Lipoprotein signal peptidase,38,1,40,1
rpoN2,Chromosome,RNA polymerase sigma-54 factor 2,38,1,40,1
ptsN,Chromosome,Nitrogen regulatory protein,38,1,40,1
truA,Chromosome,tRNA pseudouridine synthase A,38,1,36,0.9
cspA_1,Chromosome,Cold shock protein CspA,38,1,40,1
yidC,Chromosome,Membrane protein insertase YidC,38,1,40,1
sasA_1,Chromosome,Adaptive-response sensory-kinase SasA,38,1,40,1
pdxI,Chromosome,Pyridoxine 4-dehydrogenase,38,1,40,1
dadA1_1,Chromosome,D-amino acid dehydrogenase 1,38,1,40,1
fucU_1,Chromosome,L-fucose mutarotase,38,1,40,1
fadD,Chromosome,Long-chain-fatty-acid--CoA ligase,38,1,40,1
yehW,Chromosome,Glycine betaine uptake system permease protein YehW,38,1,40,1
yehY,Chromosome,Glycine betaine uptake system permease protein YehY,38,1,40,1
rbsA_1,Chromosome,Ribose import ATP-binding protein RbsA,38,1,40,1
rbsB_1,Chromosome,Ribose import binding protein RbsB,38,1,40,1
lgoR,Chromosome,putative HTH-type transcriptional regulator LgoR,38,1,40,1
sphX,Chromosome,Protein SphX,38,1,40,1
pyrD,Chromosome,Dihydroorotate dehydrogenase (quinone),38,1,40,1
iscR_1,Chromosome,HTH-type transcriptional regulator IscR,38,1,40,1
srmB,Chromosome,ATP-dependent RNA helicase SrmB,38,1,40,1
mscL,Chromosome,Large-conductance mechanosensitive channel,38,1,40,1
uvrD,Chromosome,DNA helicase II,38,1,40,1
hisD,Chromosome,Histidinol dehydrogenase,38,1,40,1
arsC_1,Chromosome,Arsenate reductase,38,1,40,1
prsD_1,Chromosome,Type I secretion system ATP-binding protein PrsD,38,1,40,1
golD,Chromosome,NAD-dependent glycerol dehydrogenase,38,1,40,1
ngcG_1,Chromosome,Diacetylchitobiose uptake system permease protein NgcG,38,1,40,1
group_1538,Chromosome,L-ribulose 3-epimerase,38,1,40,1
nanK_1,Chromosome,N-acetylmannosamine kinase,38,1,40,1
yedA_2,Chromosome,putative inner membrane transporter YedA,38,1,40,1
group_1540,Chromosome,Tagatose kinase,38,1,40,1
rbtD,Chromosome,Ribitol 2-dehydrogenase,38,1,40,1
lsrF,Chromosome,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase",38,1,40,1
nitA,Chromosome,Aliphatic nitrilase,38,1,40,1
secDF_1,Chromosome,Protein translocase subunit SecDF,38,1,40,1
ybaL,Chromosome,Putative cation/proton antiporter YbaL,38,1,40,1
rhaR_5,Chromosome,HTH-type transcriptional activator RhaR,38,1,40,1
flhB,Chromosome,Flagellar biosynthetic protein FlhB,38,1,40,1
motA,Chromosome,Motility protein A,38,1,40,1
atpB_1,Chromosome,ATP synthase subunit beta,38,1,40,1
flgC,Chromosome,Flagellar basal-body rod protein FlgC,38,1,40,1
fliE,Chromosome,Flagellar hook-basal body complex protein FliE,38,1,40,1
flbT,Chromosome,flagellum biosynthesis repressor protein FlbT,38,1,40,1
tagA,Chromosome,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,38,1,40,1
folD,Chromosome,Bifunctional protein FolD protein,38,1,40,1
group_1585,Chromosome,putative protein,38,1,40,1
ramB,Chromosome,HTH-type transcriptional regulator RamB,38,1,40,1
potA_1,Chromosome,Spermidine/putrescine import ATP-binding protein PotA,38,1,40,1
acsA_1,Chromosome,Acetyl-coenzyme A synthetase,38,1,40,1
dppD_1,Chromosome,Dipeptide transport ATP-binding protein DppD,38,1,40,1
egtA,Chromosome,Glutamate--cysteine ligase EgtA,38,1,40,1
dmlR_4,Chromosome,HTH-type transcriptional regulator DmlR,38,1,40,1
tag,Chromosome,DNA-3-methyladenine glycosylase 1,38,1,40,1
hisS,Chromosome,Histidine--tRNA ligase,38,1,40,1
hisG,Chromosome,ATP phosphoribosyltransferase,38,1,40,1
group_1605,Chromosome,Disulfide-bond oxidoreductase YfcG,38,1,40,1
tadA_1,Chromosome,tRNA-specific adenosine deaminase,38,1,40,1
thiK,Chromosome,Thiamine kinase,38,1,40,1
kefC,Chromosome,Glutathione-regulated potassium-efflux system protein KefC,38,1,40,1
mutL,Chromosome,DNA mismatch repair protein MutL,38,1,40,1
dgoA,Chromosome,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,38,1,40,1
corA,Chromosome,Magnesium transport protein CorA,38,1,40,1
atpF_2,Chromosome,ATP synthase subunit b,38,1,40,1
rnhB,Chromosome,Ribonuclease HII,38,1,40,1
moaB,Chromosome,Molybdenum cofactor biosynthesis protein B,38,1,40,1
glyQ,Chromosome,Glycine--tRNA ligase alpha subunit,38,1,40,1
purD,Chromosome,Phosphoribosylamine--glycine ligase,38,1,40,1
maa,Chromosome,Maltose O-acetyltransferase,38,1,40,1
cfa,Chromosome,Cyclopropane-fatty-acyl-phospholipid synthase,38,1,40,1
ubiA_1,Chromosome,4-hydroxybenzoate octaprenyltransferase,38,1,40,1
group_1635,Chromosome,putative FAD-linked oxidoreductase,38,1,40,1
ywlC,Chromosome,Threonylcarbamoyl-AMP synthase,38,1,40,1
group_1638,Chromosome,Carnitine monooxygenase oxygenase subunit,38,1,40,1
group_1639,Chromosome,Lectin-like protein BA14k,38,1,40,1
rlmD,Chromosome,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,38,1,40,1
tlyA,Chromosome,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA,38,1,40,1
linX,Chromosome,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX",38,1,40,1
bioM,Chromosome,Biotin transport ATP-binding protein BioM,38,1,40,1
gpmB,Chromosome,phosphoglycerate mutase GpmB,38,1,40,1
ctaB,Chromosome,Protoheme IX farnesyltransferase,38,1,40,1
ctaG,Chromosome,Cytochrome c oxidase assembly protein CtaG,38,1,40,1
ctaE,Chromosome,Cytochrome c oxidase subunit 3,38,1,40,1
thrB,Chromosome,Homoserine kinase,38,1,40,1
tcyJ,Chromosome,L-cystine-binding protein TcyJ,38,1,40,1
mntB_1,Chromosome,Manganese transport system ATP-binding protein MntB,38,1,40,1
mntA,Chromosome,putative periplasmic iron-binding protein,38,1,40,1
C2-hpah,Chromosome,"p-hydroxyphenylacetate 3-hydroxylase, oxygenase component",38,1,40,1
group_1669,Chromosome,putative zinc protease,38,1,40,1
yieH,Chromosome,6-phosphogluconate phosphatase,38,1,40,1
ppdK,Chromosome,"Pyruvate, phosphate dikinase",38,1,40,1
aas,Chromosome,Bifunctional protein Aas,38,1,40,1
cutC,Chromosome,Copper homeostasis protein CutC,38,1,40,1
pcpR_1,Chromosome,PCP degradation transcriptional activation protein,38,1,40,1
lig,Chromosome,DNA ligase,38,1,40,1
zwf_2,Chromosome,Glucose-6-phosphate 1-dehydrogenase,38,1,40,1
ilvE_1,Chromosome,Branched-chain-amino-acid aminotransferase,38,1,40,1
gcd,Chromosome,Quinoprotein glucose dehydrogenase,38,1,40,1
